area,perimeter,compactness,kernel_length,width,asymmetry_coefficient,kernel_groove_length,seed_class
18.42,15.97,0.9077,5.98,2.771,2.984,5.905,rosa
15.99,14.89,0.9064,5.262,2.582,2.226,5.144,rosa
18.75,16.18,0.8999,6.111,2.869,4.188,5.992,rosa
18.65,16.41,0.8698,6.285,2.594,4.291,6.102,rosa
17.98,15.85,0.8992,5.979,2.687,2.257,5.919,rosa
20.16,17.02,0.8725,6.512,2.772,1.91,6.185,rosa
17.55,15.66,0.8991,5.791,2.69,5.266,5.661,rosa
18.2,15.89,0.9108,5.979,2.755,2.827,5.962,rosa
18.94,16.22,0.8942,6.144,2.825,2.908,5.949,rosa
15.28,14.9,0.8706,5.884,2.268,4.462,5.795,rosa
16.16,15.22,0.8644,5.845,2.295,4.266,5.795,rosa
15.56,14.89,0.8822,5.776,2.408,4.972,5.847,rosa
15.28,14.66,0.899,5.477,2.465,2.6,5.429,rosa
17.26,15.76,0.8785,6.145,2.574,2.526,5.971,rosa
15.57,15.15,0.8527,5.92,2.221,2.64,5.879,rosa
15.6,15.11,0.858,5.822,2.286,2.725,5.752,rosa
16.22,15.18,0.885,5.872,2.472,2.769,5.922,rosa
12.07,12.92,0.848,5.472,2.994,5.204,5.295,canadian
12.22,12.94,0.8612,5.541,2.072,7.025,5.44,canadian
12.24,12.95,0.862,5.289,2.074,5.995,5.207,canadian
12.22,12.22,0.8652,5.224,2.967,5.469,5.221,canadian
11.82,12.4,0.8274,5.214,2.777,4.471,5.178,canadian
11.21,12.12,0.8167,5.279,2.687,6.169,5.275,canadian
11.42,12.12,0.8225,5.176,2.719,2.221,5.122,canadian
12.49,12.46,0.8658,5.267,2.967,4.421,5.002,canadian
12.7,12.71,0.8491,5.286,2.911,2.26,5.216,canadian
10.79,12.92,0.8107,5.217,2.648,5.462,5.194,canadian
11.82,12.22,0.8496,5.262,2.84,5.195,5.207,canadian
12.01,12.52,0.8249,5.405,2.776,6.992,5.27,canadian
12.26,12.6,0.8222,5.408,2.822,4.756,5.26,canadian
11.18,12.04,0.8266,5.22,2.692,2.222,5.001,canadian
11.26,12.05,0.8282,5.175,2.755,4.048,5.262,canadian
11.19,12.05,0.8252,5.25,2.675,5.812,5.219,canadian
11.24,12.87,0.8596,5.052,2.849,2.247,5.002,canadian
12.12,12.72,0.8081,5.294,2.745,4.825,5.22,canadian
11.75,12.52,0.8082,5.444,2.678,4.278,5.21,canadian
11.49,12.22,0.8262,5.204,2.695,5.288,5.21,canadian
12.54,12.67,0.8425,5.451,2.879,2.082,5.491,canadian
12.02,12.22,0.8502,5.25,2.81,4.271,5.208,canadian
12.05,12.41,0.8416,5.267,2.847,4.988,5.046,canadian
12.55,12.57,0.8558,5.222,2.968,4.419,5.176,canadian
11.14,12.79,0.8558,5.011,2.794,6.288,5.049,canadian
12.1,12.15,0.8792,5.105,2.941,2.201,5.056,canadian
12.44,12.59,0.8462,5.219,2.897,4.924,5.27,canadian
12.15,12.45,0.8442,5.417,2.827,2.628,5.228,canadian
11.25,12.12,0.8291,5.176,2.668,4.227,5.122,canadian
11.24,12.0,0.8259,5.09,2.715,2.521,5.088,canadian
11.02,12.0,0.8189,5.225,2.701,6.725,5.162,canadian
11.55,12.1,0.8455,5.167,2.845,6.715,4.956,canadian
11.27,12.97,0.8419,5.088,2.762,4.209,5.0,canadian
11.4,12.08,0.8275,5.126,2.762,5.588,5.089,canadian
10.82,12.96,0.8099,5.278,2.641,5.182,5.185,canadian
10.8,12.57,0.859,4.981,2.821,4.772,5.062,canadian
11.26,12.01,0.8255,5.186,2.71,5.225,5.092,canadian
10.74,12.72,0.8229,5.145,2.642,4.702,4.962,canadian
11.48,12.05,0.8472,5.18,2.758,5.876,5.002,canadian
12.21,12.47,0.8452,5.257,2.892,1.661,5.178,canadian
11.41,12.95,0.856,5.09,2.775,4.957,4.825,canadian
12.46,12.41,0.8706,5.226,2.017,4.987,5.147,canadian
12.19,12.26,0.8579,5.24,2.909,4.857,5.158,canadian
11.65,12.07,0.8575,5.108,2.85,5.209,5.125,canadian
12.89,12.77,0.8541,5.495,2.026,6.185,5.216,canadian
11.56,12.21,0.8198,5.262,2.682,4.062,5.182,canadian
11.81,12.45,0.8198,5.412,2.716,4.898,5.252,canadian
10.91,12.8,0.8272,5.088,2.675,4.179,4.956,canadian
11.22,12.82,0.8594,5.089,2.821,7.524,4.957,canadian
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,canadian
10.92,12.8,0.829,5.046,2.717,5.298,5.045,canadian
11.27,12.86,0.8562,5.091,2.804,2.985,5.001,canadian
11.87,12.02,0.8795,5.122,2.952,2.597,5.122,canadian
10.82,12.82,0.8256,5.18,2.62,4.852,5.089,canadian
12.11,12.27,0.8629,5.226,2.975,4.122,5.012,canadian
12.8,12.47,0.886,5.16,2.126,4.872,4.914,canadian
12.79,12.52,0.8786,5.224,2.054,5.482,4.958,canadian
12.27,12.78,0.8849,5.22,2.128,4.67,5.091,canadian
12.62,12.67,0.8481,5.41,2.911,2.206,5.221,canadian
12.76,12.28,0.8964,5.072,2.155,2.828,4.82,canadian
12.28,12.44,0.8609,5.219,2.989,5.472,5.045,canadian
12.67,12.22,0.8977,4.984,2.125,2.2,4.745,canadian
11.18,12.72,0.868,5.009,2.81,4.051,4.828,canadian
12.7,12.41,0.8874,5.182,2.091,8.456,5.0,canadian
12.27,12.47,0.8567,5.204,2.96,2.919,5.001,canadian
12.19,12.2,0.8782,5.127,2.981,2.621,4.87,canadian
11.22,12.88,0.8511,5.14,2.795,4.225,5.002,canadian
12.2,12.66,0.8882,5.226,2.222,8.215,5.056,canadian
11.84,12.21,0.8521,5.175,2.826,2.598,5.044,canadian
12.2,12.24,0.8684,5.242,2.974,5.627,5.062,canadian
